instanceid, cpuutilization%
i-03c4c5d392bddcd55, 0.000000
i-0cccf18d76f36205f, 3.445899
i-025439ad38ce727be, 7.789879
i-05f6dd651857f0340, 1.722845
i-04fb2779ef89c0bce, 0.000000
i-03f396c21aeb537c5, 0.000000
i-0393e351c9d2dc929, 0.000000
i-044cc395dfe7d5e56, 0.000000
i-050f033dd62ac9748, 0.384114
i-01f8a90046cfc2fa7, 1.486232
i-0e9b09287780aecfb, 4.376511
i-0caae2fc7ca04c77f, 1.292090
i-0a01e75898f326773, 0.000000
i-061382e20983d9d31, 0.661620
i-03c1154508ac203ad, 0.749134
i-0cd81c5a6b0b40032, 0.976404
i-01da8318c3d255165, 1.989325
i-0d322baa94e34711a, 13.590428
i-086ed6532ebf7faa8, 0.000000
i-07d64aefa7a39e94a, 9.480403
