instanceid, networkinGiB
i-03c4c5d392bddcd55, 0.000000
i-0cccf18d76f36205f, 0.077809
i-025439ad38ce727be, 22.470195
i-05f6dd651857f0340, 0.048444
i-04fb2779ef89c0bce, 0.000000
i-03f396c21aeb537c5, 0.000000
i-0393e351c9d2dc929, 0.000000
i-044cc395dfe7d5e56, 0.000000
i-050f033dd62ac9748, 0.047891
i-01f8a90046cfc2fa7, 0.076867
i-0e9b09287780aecfb, 0.049256
i-0caae2fc7ca04c77f, 0.853081
i-0a01e75898f326773, 0.000000
i-061382e20983d9d31, 0.104179
i-03c1154508ac203ad, 0.057633
i-0cd81c5a6b0b40032, 0.050823
i-01da8318c3d255165, 0.055901
i-0d322baa94e34711a, 56.986600
i-086ed6532ebf7faa8, 0.000000
i-07d64aefa7a39e94a, 13.138480
